title,city_location,block_sector,bedroom,bathroom,sqrtFeet,price
Visit This Apartment For Sale In East Shewrapara Near Haji Ashraf Ali High School.,4,60,3,2,950,15.201805169084134
1274 Sq Ft 3 Bed Apt. Is Available For Sale In Banasree,6,61,3,3,1274,16.166885910365842
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3,17,3,4,1331,16.588099342704055
"960 Sq Ft Apartment For Sale In North Pirerbag, Mirpur",4,45,3,2,960,15.53827733427679
A Nicely Constructed Apartment Of 1090 Sq Ft Is Available Right Now For Sale In Aramb...,4,10,3,3,1090,16.166885910365842
"Smartly Priced Residence Of 650 Sq Ft Is Available For Sale In Mirpur 12, That You Sh...",4,15,2,2,650,14.978661680269907
"Get A Look At This Lovely Flat For Sale Featuring 1076 Sq Ft In Sector 5, Uttara",3,20,2,2,1076,16.213405921671733
1050 SQ FT flat is now Vacant for sale in West Monipur,4,62,3,2,1050,15.36837833055017
A 1330 Square Ft. Apartment Is For Sale At Banasree,6,2,3,3,1330,15.882373444019521
"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3,31,3,3,1300,15.894952224644102
1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,4,63,2,2,1040,15.687312888712007
"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",4,10,2,2,1000,15.520258832020865
"This Very Nice Flat Of 1100 Sq Ft Is Up For Sale In West Monipur, Mirpur",4,62,3,2,1100,15.345905479508115
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",2,40,3,3,2125,16.811242881518265
"1701 Sq Ft Apartment With Nice Rooms Is Ready For Sale In Mohammadpur, Iqbal Road",7,64,3,4,1701,17.04235459216419
1300 Sq Ft Flat For Sale In Banasree,6,2,3,3,1300,15.86963441986494
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",2,23,3,3,1610,16.388122864507256
You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara...,2,49,4,4,2180,16.677711496036597
Dhanmondi Is Offering A 1500 Sq Ft Flat For Sale To Pick It For Your Next Home.,11,65,4,5,1500,16.88356353960952
A well-constructed 1395 SQ FT flat is for sale in Banasree,6,2,3,3,1395,16.24031337217814
"Buy This 1550 Square Feet Flat In Banasree, Block A",6,43,3,3,1550,16.41820031748273
Offering you 750 SQ FT flat for sale in Uttara 10,3,31,2,2,750,15.64006001130563
Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3,66,3,3,2343,16.906553056777135
1050 Square Feet Residential Apartment For Sale At West Kazipara Nearby Baish Bari Ma...,4,67,3,2,1050,15.64006001130563
"Get Ready To Buy This Great Home Of 860 sft In Mirpur, Rupnagar R/a",4,35,2,2,860,15.404745967162468
An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East S...,4,60,3,3,1230,15.816990693309524
An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,4,42,3,3,1250,15.86963441986494
Apartment For Sale Is All Set For You To Settle In Uttara Close To Trust Bank Limited...,3,31,3,3,1320,16.02707636210017
Pursue This 1383 Square Feet Apartment Ready For Sale In Dhanmondi,11,51,3,3,1383,16.195056784687036
A 2000 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Bashundhara R-a,2,2,4,4,2000,16.906553056777135
High Standards Of Living – 2000 Sq Ft Flat For Sale In Aftab Nagar,5,23,4,3,2000,16.811242881518265
2200 Sq Ft Flat Is Now For Sale Which Is In Bashundhara R-a,2,68,4,4,2200,16.61887099947687
Express Your Individuality At This 1400 Sq.ft Apartment Which Is Vacant For Sale In T...,4,69,3,3,1400,15.656060350091908
"750 Sq Ft Apartment For Sale In Ahmed Nagar, Mirpur",4,27,3,2,750,15.46416937585933
Plan To Move In This 990 Sq Ft Flat Which Is Up For Sale In Bochila,7,70,3,3,990,15.38412668421143
A 600 Square Feet Apartment At Bochila City Developers Ltd For Sale,7,70,2,1,600,14.914123179965662
Buy This Amazing 1050 Sq Ft Apartment At Mirpur,4,46,3,2,1050,15.38412668421143
Looking For A Tasteful Home For Sale In Faydabad ? Check This One,0,13,2,2,600,14.77102238760702
"1560 Square Feet Apartment For Sale In The Great Area Of Bashundhara R-a, Block L",2,40,3,3,1560,16.454567959008102
1650 Sq Ft Amazing Flat For Sale In Uttara-11,3,7,3,3,1650,16.489659276356317
945 SFT Budget-Friendly Apartment For sale At Uttara,3,71,3,32,945,15.687312888712007
Check This 1250 Sq Ft Apartment Up For Sale At Ashkona Near Hajj Camp Masjid.,0,3,3,2,1250,15.955576839107596
"1280 Sq Ft Residential Flat With 3 Balconies For Sale In Mirpur, Section 10, Senpara ...",4,42,3,3,1280,15.76142084987672
In The Fine Location Of South Monipur A 1000 Sq Ft Apartment Is All Set For Sale,4,69,2,2,1000,15.319588176962746
Convenient 800 Square Feet Apartment For Sale In Dhanmondi,11,59,2,2,800,15.754252361425857
"Plan To Move In This 945 Sq Ft Flat Which Is For Sale In Section 11, Mirpur",4,22,3,2,945,15.64006001130563
Check This Flat In Mirpur For Sale Which Is Ready To Move In,4,22,3,2,820,15.607270193858982
Let Us Assist You To Buy This 1510 Sq. Ft Flat At South Pirerbag Near To Fulki Nurser...,4,45,3,3,1510,15.919644834185693
"Build Your Residence In This 2100 Sq Ft Apartment For Sale In Banasree, Block E",6,6,4,4,2100,16.454567959008102
2375 Sq Ft Elegant Flat For Sale In Uttara Sector 5.,3,20,4,3,2375,16.906553056777135
"This 850 Sq Ft Apartment Comes With Peaceful Living In Mirpur10-Block A , Is Up For S...",4,42,2,2,850,15.607270193858982
"1100 Sq. Ft. Flat For Sale At Shimultola Road, Pirerbag",4,45,3,2,1100,15.46416937585933
A Must See 1350 Sq Ft Apartment For sale Is All Set For You To Settle In Bashundhara ...,2,39,3,3,1350,16.380459992348886
A Newly Constructed Apartment In North Pirerbag Is Available For Sale Which Is 1050 S...,4,45,3,3,1050,15.319588176962746
